27.5	-2.06118 
27.6	-2.07468 
27.7	-2.08360 
27.8	-2.08810 
27.9	-2.08824 
28	-2.08403 
28.1	-2.07542 
28.2	-2.06227 
28.3	-2.04439 
28.4	-2.02153 
28.5	-1.99340 
28.6	-1.95966 
28.7	-1.91998 
28.8	-1.87401 
28.9	-1.82149 
29	-1.76220 
29.1	-1.69610 
29.2	-1.62331 
29.3	-1.54419 
29.4	-1.45936 
29.5	-1.36973 
29.6	-1.27646 
29.7	-1.18092 
29.8	-1.08461 
29.9	-0.98909 
30	-0.89583 
30.1	-0.80614 
30.2	-0.72111 
30.3	-0.64155 
30.4	-0.56801 
30.5	-0.50074 
30.6	-0.43980 
30.7	-0.38504 
30.8	-0.33619 
30.9	-0.29285 
31	-0.25462 
31.1	-0.22102 
31.2	-0.19160 
31.3	-0.16591 
31.4	-0.14354 
31.5	-0.12409 
31.6	-0.10722 
31.7	-0.09259 
31.8	-0.07993 
31.9	-0.06897 
32	-0.05950 
32.1	-0.05132 
32.2	-0.04426 
32.3	-0.03816 
32.4	-0.03289 
32.5	-0.02835 
32.6	-0.02443 
32.7	-0.02105 
32.8	-0.01813 
32.9	-0.01562 
33	-0.01344 
33.1	-0.01157 
33.2	-0.00995 
33.3	-0.00855 
33.4	-0.00734 
33.5	-0.00629 
33.6	-0.00539 
33.7	-0.00460 
33.8	-0.00391 
33.9	-0.00331 
34	-0.00279 
34.1	-0.00232 
34.2	-0.00191 
34.3	-0.00154 
34.4	-0.00120 
34.5	-0.00089 
34.6	-0.00060 
34.7	-0.00032 
34.8	-0.00005 
